Category,Name of medicine,EMA product number,Medicine status,Opinion status,Latest procedure affecting product information,International non-proprietary name (INN) / common name,Active substance,Therapeutic area (MeSH),"Species
(veterinary)",Patient safety,ATC code (human),ATCvet code (veterinary),"Pharmacotherapeutic group
(human)","Pharmacotherapeutic group
(veterinary)",Therapeutic indication,Accelerated assessment,Additional monitoring,Advanced therapy,Biosimilar,Conditional approval,Exceptional circumstances,Generic,Orphan medicine,PRIME: priority medicine,Marketing authorisation developer / applicant / holder,European Commission decision date,Start of rolling review date,Start of evaluation date,Opinion adopted date,Withdrawal of application date,Marketing authorisation date,Refusal of marketing authorisation date,Withdrawal / expiry / revocation / lapse of marketing authorisation date,Suspension of marketing authorisation date,Revision number,First published date,Last updated date,Medicine URL
Human,Topotecan Hospira,EMEA/H/C/001192,Authorised,,N/0000339309,topotecan,topotecan,Uterine Cervical Neoplasms;Small Cell Lung Carcinoma,,No,L01CE01,,Other antineoplastic agents,,Topotecan monotherapy is indicated for the treatment of patients with relapsed small-cell lung cancer (SCLC) for whom re-treatment with the first-line regimen is not considered appropriate. Topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with stage IVB disease. Patients with prior exposure to cisplatin require a sustained treatment-free interval to justify treatment with the combination.,No,No,No,No,No,No,No,No,No,Pfizer Europe MA EEIG,31/03/2026,,,18/03/2010,,2010/9/6,,,,22,13/04/2018,31/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/topotecan-hospira
Human,Alecensa,EMEA/H/C/004164,Authorised,,VR/0000313101,alectinib,alectinib hydrochloride,"Carcinoma, Non-Small-Cell Lung",,No,L01ED03,,Antineoplastic agents,,Adjuvant treatment of resected non small cell lung cancer (NSCLC)&nbsp;Alecensa as monotherapy is indicated as adjuvant treatment following complete tumour resection for adult patients with ALK positive NSCLC at high risk of recurrence (see section 5.1 for selection criteria).Treatment of advanced NSCLCAlecensa as monotherapy is indicated for the first line treatment of adult patients with ALK positive advanced NSCLC.Alecensa as monotherapy is indicated for the treatment of adult patients with ALK positive advanced NSCLC previously treated with crizotinib.,No,Yes,No,No,No,No,No,No,No,Roche Registration GmbH,29/01/2026,,,15/12/2016,,16/02/2017,,,,17,2018/9/8,31/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/alecensa
Human,Tecentriq,EMEA/H/C/004143,Authorised,,PSUR/0000296544,atezolizumab,atezolizumab,"Carcinoma, Transitional Cell;Carcinoma, Non-Small-Cell Lung;Urologic Neoplasms;Breast Neoplasms;Small Cell Lung Carcinoma",,No,L01XC32,,Antineoplastic agents,,"Urothelial carcinoma&nbsp;Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma (UC):  after prior platinum containing chemotherapy, or who are considered cisplatin ineligible, and whose tumours have a PD-L1 expression ≥ 5% (see section 5.1).  Early-stage non-small cell lung cancer (NSCLC)&nbsp;Tecentriq as monotherapy is indicated as adjuvant treatment following complete resection and platinum-based chemotherapy for adult patients with NSCLC with a high risk of recurrence whose tumours have PD-L1 expression on ≥ 50% of tumour cells (TC) and who do not have EGFR mutant or ALK positive NSCLC (see section 5.1 for selection criteria).&nbsp;Advanced NSCLC&nbsp;&nbsp;Tecentriq, in combination with bevacizumab, paclitaxel and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous non small cell lung cancer (NSCLC). In patients with EGFR mutant or ALK-positive NSCLC, Tecentriq, in combination with bevacizumab, paclitaxel and carboplatin, is indicated only after failure of appropriate targeted therapies (see section 5.1).Tecentriq, in combination with nab paclitaxel and carboplatin, is indicated for the first line treatment of adult patients with metastatic non-squamous NSCLC who do not have EGFR mutant or ALK positive NSCLC (see section 5.1).Tecentriq as monotherapy is indicated for the first-line treatment of adult patients with metastatic non-small cell lung cancer (NSCLC) whose tumours have a PD-L1 expression ≥ 50% tumour cells (TC) or ≥ 10% tumour-infiltrating immune cells (IC) and who do not have EGFR mutant or ALK-positive NSCLC (see section 5.1).Tecentriq as monotherapy is indicated for the first-line treatment of adult patients with advanced NSCLC who are ineligible for platinum-based therapy (see section 5.1 for selection criteria).Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic NSCLC after prior chemotherapy. Patients with EGFR mutant or ALK positive NSCLC should also have received targeted therapies before receiving Tecentriq (see section 5.1).Small cell lung cancer (SCLC)Tecentriq, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC) (see section 5.1).&nbsp;Triple-negative breast cancer (TNBC)Tecentriq in combination with nab-paclitaxel is indicated for the treatment of adult patients with unresectable locally advanced or metastatic TNBC whose tumours have PD-L1 expression ≥ 1% and who have not received prior chemotherapy for metastatic disease.Hepatocellular carcinomaTecentriq, in combination with bevacizumab, is indicated for the treatment of adult patients with advanced or unresectable hepatocellular carcinoma (HCC) who have not received prior systemic therapy (see section 5.1). Urothelial carcinoma (UC)&nbsp;Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic UC:  after prior platinum containing chemotherapy, or who are considered cisplatin ineligible, and whose tumours have a PD-L1 expression ≥ 5% (see section 5.1).  Early-stage non-small cell lung cancer (NSCLC)&nbsp;Tecentriq as monotherapy is indicated as adjuvant treatment following complete resection and platinum-based chemotherapy for adult patients with NSCLC with a high risk of recurrence whose tumours have PD-L1 expression on ≥ 50% of tumour cells (TC) and who do not have EGFR mutant or ALK positive NSCLC (see section 5.1 for selection criteria).&nbsp;Advanced NSCLC&nbsp;&nbsp;Tecentriq, in combination with bevacizumab, paclitaxel and carboplatin, is indicated for the first-line treatment of adult patients with metastatic non-squamous NSCLC. In patients with EGFR mutant or ALK-positive NSCLC, Tecentriq, in combination with bevacizumab, paclitaxel and carboplatin, is indicated only after failure of appropriate targeted therapies (see section 5.1).Tecentriq, in combination with nab paclitaxel and carboplatin, is indicated for the first line treatment of adult patients with metastatic non-squamous NSCLC who do not have EGFR mutant or ALK positive NSCLC (see section 5.1).Tecentriq as monotherapy is indicated for the first-line treatment of adult patients with metastatic NSCLC whose tumours have a PD-L1 expression ≥ 50% TC or ≥ 10% tumour-infiltrating immune cells (IC) and who do not have EGFR mutant or ALK-positive NSCLC (see section 5.1).Tecentriq as monotherapy is indicated for the first-line treatment of adult patients with advanced NSCLC who are ineligible for platinum-based therapy (see section 5.1 for selection criteria).Tecentriq as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic NSCLC after prior chemotherapy. Patients with EGFR mutant or ALK positive NSCLC should also have received targeted therapies before receiving Tecentriq (see section 5.1).Small cell lung cancer (SCLC)&nbsp;Tecentriq, in combination with carboplatin and etoposide, is indicated for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC) (see section 5.1).&nbsp;Triple-negative breast cancer (TNBC)Tecentriq in combination with nab-paclitaxel is indicated for the treatment of adult patients with unresectable locally advanced or metastatic TNBC whose tumours have PD-L1 expression ≥ 1% and who have not received prior chemotherapy for metastatic disease.Hepatocellular carcinoma (HCC)Tecentriq, in combination with bevacizumab, is indicated for the treatment of adult patients with advanced or unresectable HCC who have not received prior systemic therapy (see section 5.1).",No,No,No,No,No,No,No,No,No,Roche Registration GmbH,26/03/2026,,,19/07/2017,,20/09/2017,,,,36,2018/9/8,30/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/tecentriq
Human,Imdylltra,EMEA/H/C/006451,Opinion,Positive,,tarlatamab,tarlatamab,Small Cell Lung Carcinoma,,No,L01FX33,,Antineoplastic agents,,Treatment of extensive-stage small cell lung cancer,No,No,No,No,No,No,No,Yes,No,Amgen Europe B.V.,,,,26/03/2026,,,,,,,27/03/2026,,https://www.ema.europa.eu/en/medicines/human/EPAR/imdylltra
Human,Zepzelca,EMEA/H/C/006673,Opinion,Positive,,lurbinectedin,lurbinectedin,Small Cell Lung Carcinoma,,No,L01XX69,,Antineoplastic agents,,Maintenance treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC),No,No,No,No,No,No,No,Yes,No,Pharma Mar S.A.,,,,26/03/2026,,,,,,,27/03/2026,,https://www.ema.europa.eu/en/medicines/human/EPAR/zepzelca
Human,Lazcluze,EMEA/H/C/006074,Authorised,,VR/0000315717,lazertinib,lazertinib mesilate monohydrate,"Carcinoma, Non-Small-Cell Lung",,No,L01EB09,,Antineoplastic agents,,Lazcluze in combination with amivantamab is indicated for the first line treatment of adult patients with advanced non small cell lung cancer (NSCLC) with EGFR exon 19 deletions or exon 21 L858R substitution mutations.,No,Yes,No,No,No,No,No,No,No,Janssen Cilag International NV,2026/12/2,,,14/11/2024,,20/01/2025,,,,3,18/07/2025,26/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/lazcluze
Human,Zirabev,EMEA/H/C/004697,Authorised,,N/0000337578,bevacizumab,bevacizumab,"Colorectal Neoplasms;Breast Neoplasms;Carcinoma, Non-Small-Cell Lung;Carcinoma, Renal Cell;Uterine Cervical Neoplasms",,No,L01XC07,,Antineoplastic agents,,"Zirabev in combination with fluoropyrimidine-based chemotherapy is indicated for treatment of adult patients with metastatic carcinoma of the colon or rectum. Zirabev in combination with paclitaxel is indicated for first-line treatment of adult patients with metastatic breast cancer. For further information as to human epidermal growth factor receptor 2 (HER2) status. Zirabev, in addition to platinum-based chemotherapy, is indicated for first-line treatment of adult patients with unresectable advanced, metastatic or recurrent non-small cell lung cancer other than predominantly squamous cell histology. Zirabev in combination with interferon alfa-2a is indicated for first line treatment of adult patients with advanced and/or metastatic renal cell cancer. Zirabev, in combination with paclitaxel and cisplatin or, alternatively, paclitaxel and topotecan in patients who cannot receive platinum therapy, is indicated for the treatment of adult patients with persistent, recurrent, or metastatic carcinoma of the cervix.",No,Yes,No,Yes,No,No,No,No,No,Pfizer Europe MA EEIG,25/03/2026,,,13/12/2018,,14/02/2019,,,,19,2018/11/12,25/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/zirabev
Human,Vargatef,EMEA/H/C/002569,Authorised,,WS2701,nintedanib,nintedanib,"Carcinoma, Non-Small-Cell Lung",,No,L01XE3,,Antineoplastic agents,,"Vargatef is indicated in combination with docetaxel for the treatment of adult patients with locally advanced, metastatic or locally recurrent non-small cell lung cancer (NSCLC) of adenocarcinoma tumour histology after first line chemotherapy.",No,No,No,No,No,No,No,No,No,Boehringer Ingelheim International GmbH,2024/4/7,,,25/09/2014,,21/11/2014,,,,21,26/07/2018,19/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/vargatef
Human,Imfinzi,EMEA/H/C/004771,Authorised,,VR/0000296305,durvalumab,durvalumab,"Carcinoma, Non-Small-Cell Lung",,No,L01XC28,,Antineoplastic agents,,"Non-Small Cell Lung Cancer (NSCLC)IMFINZI in combination with platinum-based chemotherapy as neoadjuvant treatment, followed by IMFINZI as monotherapy as adjuvant treatment, is indicated for the treatment of adults with resectable NSCLC at high risk of recurrence and no EGFR mutations or ALK rearrangements (for selection criteria, see section 5.1). IMFINZI as monotherapy is indicated for the treatment of locally advanced, unresectable non small cell lung cancer (NSCLC) in adults whose tumours express PD-L1 on ≥ 1% of tumour cells and whose disease has not progressed following platinum based chemoradiation therapy (see section 5.1).IMFINZI in combination with tremelimumab and platinum-based chemotherapy is indicated for the first-line treatment of adults with metastatic NSCLC with no sensitising EGFR mutations or ALK positive mutations. Small Cell Lung Cancer (SCLC)IMFINZI in combination with etoposide and either carboplatin or cisplatin is indicated for the first-line treatment of adults with extensive-stage small cell lung cancer (ES-SCLC). Biliary Tract Cancer (BTC)IMFINZI in combination with gemcitabine and cisplatin is indicated for the first line treatment of adults with unresectable or metastatic biliary tract cancer (BTC). Hepatocellular Carcinoma (HCC)IMFINZI as monotherapy is indicated for the first line treatment of adults with advanced or unresectable hepatocellular carcinoma (HCC).&nbsp; IMFINZI in combination with tremelimumab is indicated for the first line treatment of adults with advanced or unresectable hepatocellular carcinoma (HCC). Endometrial Cancer&nbsp;IMFINZI in combination with carboplatin and paclitaxel is indicated for the first-line treatment of adults with primary advanced or recurrent endometrial cancer who are candidates for systemic therapy, followed by maintenance treatment with:&nbsp;- IMFINZI as monotherapy in endometrial cancer that is mismatch repair deficient (dMMR)&nbsp;- IMFINZI in combination with olaparib in endometrial cancer that is mismatch repair proficient (pMMR). Muscle Invasive Bladder Cancer (MIBC)&nbsp;IMFINZI in combination with gemcitabine and cisplatin as neoadjuvant treatment, followed by IMFINZI as monotherapy adjuvant treatment after radical cystectomy, is indicated for the treatment of adults with resectable muscle invasive bladder cancer (MIBC).",No,No,No,No,No,No,No,No,No,AstraZeneca AB,2026/12/2,,,26/07/2018,,21/09/2018,,,,27,30/10/2018,19/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/imfinzi
Human,Keytruda,EMEA/H/C/003820,Authorised,,VR/0000332176,pembrolizumab,pembrolizumab,"Melanoma;Hodgkin Disease;Carcinoma, Renal Cell;Carcinoma, Non-Small-Cell Lung;Carcinoma, Transitional Cell;Squamous Cell Carcinoma of Head and Neck;Urologic Neoplasms;Endometrial Neoplasms",,No,L01FF02,,Antineoplastic agents,,"Melanoma Keytruda as monotherapy is indicated for the treatment of adults and adolescents aged 12 years and older with advanced (unresectable or metastatic) melanoma. Keytruda&nbsp;as monotherapy is indicated for the adjuvant treatment of adults and adolescents aged 12 years and older with Stage IIB, IIC, or with Stage III melanoma and lymph node involvement who have undergone complete resection. Non small cell lung carcinoma (NSCLC) Keytruda, in combination with platinum-containing chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment, is indicated for the treatment of resectable non small cell lung carcinoma at high risk of recurrence in adults Keytruda as monotherapy is indicated for the adjuvant treatment of adults with non-small cell lung carcinoma who are at high risk of recurrence following complete resection and platinum based chemotherapy (for selection criteria, see section 5.1). Keytruda&nbsp;as monotherapy is indicated for the first line treatment of metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a ≥ 50% tumour proportion score (TPS) with no EGFR or ALK positive tumour mutations. Keytruda, in combination with pemetrexed and platinum chemotherapy, is indicated for the first-line treatment of metastatic non squamous non small cell lung carcinoma in adults whose tumours have no EGFR or ALK positive mutations. Keytruda, in combination with carboplatin and either paclitaxel or nab paclitaxel, is indicated for the first line treatment of metastatic squamous non small cell lung carcinoma in adults. Keytruda&nbsp; as monotherapy is indicated for the treatment of locally advanced or metastatic non small cell lung carcinoma in adults whose tumours express PD L1 with a&nbsp;≥ 1% TPS and who have received at least one prior chemotherapy regimen. Patients with EGFR or ALK positive tumour mutations should also have received targeted therapy before receiving KEYTRUDA. Malignant pleural mesothelioma (MPM) Keytruda, in combination with pemetrexed and platinum chemotherapy, is indicated for the first‑line treatment of adults with unresectable non-epithelioid malignant pleural mesothelioma. Classical Hodgkin lymphoma (cHL) Keytruda&nbsp;as monotherapy is indicated for the treatment of adult and paediatric patients aged 3 years and older with relapsed or refractory classical Hodgkin lymphoma who have failed autologous stem cell transplant (ASCT) or following at least two prior therapies when ASCT is not a treatment option. Urothelial carcinoma Keytruda as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who have received prior platinum containing chemotherapy.Keytruda as monotherapy is indicated for the treatment of locally advanced or metastatic urothelial carcinoma in adults who are not eligible for cisplatin containing chemotherapy and whose tumours express PD L1 with a combined positive score (CPS) ≥ 10. Head and neck squamous cell carcinoma (HNSCC) Keytruda as monotherapy is indicated for the treatment of resectable locally advanced head and neck squamous cell carcinoma as neoadjuvant treatment, continued as adjuvant treatment in combination with radiation therapy with or without concomitant cisplatin and then as monotherapy in adults whose tumours express PD-L1 with a CPS&nbsp;≥&nbsp;1. Keytruda, as monotherapy or in combination with platinum and 5 fluorouracil (5 FU) chemotherapy, is indicated for the first line treatment of metastatic or unresectable recurrent head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a CPS ≥&nbsp;1. Keytruda&nbsp;as monotherapy is indicated for the treatment of recurrent or metastatic head and neck squamous cell carcinoma in adults whose tumours express PD L1 with a ? 50% TPS and progressing on or after platinum containing chemotherapy. Renal cell carcinoma (RCC) Keytruda, in combination with axitinib, is indicated for the first line treatment of advanced renal cell carcinoma in adults. Keytruda, in combination with lenvatinib, is indicated for the first line treatment of advanced renal cell carcinoma in adults. Keytruda as monotherapy is indicated for the adjuvant treatment of adults with renal cell carcinoma at increased risk of recurrence following nephrectomy, or following nephrectomy and resection of metastatic lesions (for selection criteria, please see section 5.1). Microsatellite instability high (MSI-H) or mismatch repair deficient (dMMR) cancers Colorectal cancer (CRC)Keytruda&nbsp;as monotherapy is indicated for theadults with MSI-H or dMMR colorectal cancer in the following settings:  first line treatment of metastatic microsatellite instability high (MSI H) or mismatch repair deficient (dMMR) colorectal cancer in adults; treatment of unresectable or metastatic colorectal cancer after previous fluoropyrimidine based combination therapy.&nbsp;  Non-colorectal cancersKeytruda&nbsp;as monotherapy is indicated for the treatment of the following MSI H or dMMR tumours in adults with:  advanced or recurrent endometrial carcinoma, who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation; unresectable or metastatic gastric, small intestine, or biliary cancer, who have disease progression on or following at least one prior therapy.  Oesophageal carcinoma Keytruda, in combination with platinum and fluoropyrimidine based chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic carcinoma of the oesophagus in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10. Triple negative breast cancer (TNBC) Keytruda, in combination with chemotherapy as neoadjuvant treatment, and then continued as monotherapy as adjuvant treatment after surgery, is indicated for the treatment of adults with locally advanced, or early stage triple negative breast cancer at high risk of recurrence. Keytruda, in combination with chemotherapy, is indicated for the treatment of locally recurrent unresectable or metastatic triple negative breast cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 10 and who have not received prior chemotherapy for metastatic disease. Endometrial carcinoma (EC) Keytruda, in combination with carboplatin and paclitaxel, is indicated for the first-line treatment of primary advanced or recurrent endometrial carcinoma in adults who are candidates for systemic therapy.&nbsp; Keytruda, in combination with lenvatinib, is indicated for the treatment of advanced or recurrent endometrial carcinoma in adults who have disease progression on or following prior treatment with a platinum containing therapy in any setting and who are not candidates for curative surgery or radiation. Cervical cancer Keytruda, in combination with chemoradiotherapy (external beam radiation therapy followed by brachytherapy), is indicated for the treatment of FIGO 2014 Stage III - IVA locally advanced cervical cancer in adults who have not received prior definitive therapy.&nbsp; Keytruda, in combination with chemotherapy with or without bevacizumab, is indicated for the treatment of persistent, recurrent, or metastatic cervical cancer in adults whose tumours express PD L1 with a CPS&nbsp;≥ 1. Gastric or gastro-oesophageal junction (GEJ) adenocarcinoma Keytruda, in combination with trastuzumab, fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-positive gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD-L1 with a CPS ≥ 1. Keytruda, in combination with fluoropyrimidine and platinum-containing chemotherapy, is indicated for the first-line treatment of locally advanced unresectable or metastatic HER2-negative gastric or gastro-oesophageal junction adenocarcinoma in adults whose tumours express PD L1 with a CPS ≥ 1 (see section 5.1). Biliary tract carcinoma (BTC) Keytruda, in combination with gemcitabine and cisplatin, is indicated for the first-line treatment of locally advanced unresectable or metastatic biliary tract carcinoma in adults.",No,No,No,No,No,No,No,No,No,Merck Sharp & Dohme B.V.,18/03/2026,,,20/05/2015,,17/07/2015,,,,69,21/06/2018,18/03/2026,https://www.ema.europa.eu/en/medicines/human/EPAR/keytruda
