PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,pubmed_url,second_link,pdf_url,download_status,download_error
41006008,Prognostic Impact of ALK Rearrangements in Resected NSCLC: A Systematic Review and Meta-analysis,"Seong H, Kim SH, Kim MH, Eom JS.",Anticancer Res. 2025 Oct;45(10):4519-4534. doi: 10.21873/anticanres.17799.,Seong H,Anticancer Res,2025,2025-09-26 00:00:00,,,10.21873/anticanres.17799,https://pubmed.ncbi.nlm.nih.gov/41006008/,https://www.nih.gov/,,failed,row_timeout>120s
40748599,Efficacy and safety evaluation of exercise intervention in improving rehabilitation outcomes for advanced lung cancer patients,"Dong J, Lv X, Chi J, Wang D.",J Sports Med Phys Fitness. 2025 Nov;65(11):1522-1535. doi: 10.23736/S0022-4707.25.16844-8. Epub 2025 Aug 1.,Dong J,J Sports Med Phys Fitness,2025,2025-08-01 00:00:00,,,10.23736/S0022-4707.25.16844-8,https://pubmed.ncbi.nlm.nih.gov/40748599/,https://www.nih.gov/,,failed,row_timeout>120s
40531080,"PD-1/PD-L1 inhibitors plus chemotherapy versus chemotherapy alone for TKIs-resistant, EGFR-mutant, advanced non-small-cell lung cancer: a phase 3 RCTs based meta-analysis","Chen X, Zhao J, Zhang W, Ying X.",Expert Rev Anticancer Ther. 2025 Sep;25(9):1087-1098. doi: 10.1080/14737140.2025.2522980. Epub 2025 Jul 8.,Chen X,Expert Rev Anticancer Ther,2025,2025-06-18 00:00:00,,,10.1080/14737140.2025.2522980,https://pubmed.ncbi.nlm.nih.gov/40531080/,https://www.tandfonline.com/doi/full/10.1080/14737140.2025.2522980,,failed,row_timeout>120s
40447508,CT-Based Radiomics for Predicting PD-L1 Expression in Non-small Cell Lung Cancer: A Systematic Review and Meta-analysis,"Salimi M, Vadipour P, Khosravi A, Salimi B, Mabani M, Rostami P, Seifi S.",Acad Radiol. 2025 Nov;32(11):6913-6928. doi: 10.1016/j.acra.2025.05.024. Epub 2025 May 29.,Salimi M,Acad Radiol,2025,2025-05-30 00:00:00,,,10.1016/j.acra.2025.05.024,https://pubmed.ncbi.nlm.nih.gov/40447508/,https://doi.org/10.1016/j.acra.2025.05.024,,failed,row_timeout>180s
40421698,Adjuvant epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKIs) for the treatment of people with resected stage I to III non-small-cell lung cancer and EGFR mutation,"Occhipinti M, Imbimbo M, Ferrara R, Simeon V, Fiscon G, Marchal C, Skoetz N, Viscardi G.",Cochrane Database Syst Rev. 2025 May 27;5(5):CD015140. doi: 10.1002/14651858.CD015140.pub2.,Occhipinti M,Cochrane Database Syst Rev,2025,2025-05-27 00:00:00,PMC12107686,,10.1002/14651858.CD015140.pub2,https://pubmed.ncbi.nlm.nih.gov/40421698/,https://www.sciencedirect.com/science/article/pii/S221326002100134X,,failed,row_timeout>180s
40382884,"Effectiveness of Baduanjin exercise on pulmonary function, quality of life, psychological well-being and exercise tolerance in postoperative patients with non-small cell lung cancer: Systematic review and meta-analysis of randomized controlled trials","Yan Z, Chen M, Tao J, Wang Y, Huang P.",Explore (NY). 2025 Jul-Aug;21(4):103186. doi: 10.1016/j.explore.2025.103186. Epub 2025 May 9.,Yan Z,Explore (NY),2025,2025-05-18 00:00:00,,,10.1016/j.explore.2025.103186,https://pubmed.ncbi.nlm.nih.gov/40382884/,https://linkinghub.elsevier.com/retrieve/pii/S1550-8307(25)00077-1,,failed,https://www.clinicalkey.com/nursing/content/playBy/pii?v=S1550-8307(25)00077-1 -> no_live_pdf
40382256,Chronic pancreatitis and extra pancreatic cancers- A systematic review and meta analysis,"Quammie S, Crooks CJ, Aliyu A, Aithal GP, Aravinthan AD.",Pancreatology. 2025 Jun;25(4):516-527. doi: 10.1016/j.pan.2025.05.003. Epub 2025 May 10.,Quammie S,Pancreatology,2025,2025-05-17 00:00:00,,,10.1016/j.pan.2025.05.003,https://pubmed.ncbi.nlm.nih.gov/40382256/,https://doi.org/10.1016/j.pan.2025.05.003,https://www.sciencedirect.com/science/article/pii/S1424390325000882/pdfft?md5=453f34d8641c1ee9cc7e836f727d7e09&pid=1-s2.0-S1424390325000882-main.pdf,failed,row_timeout>180s
40360049,"A systematic review and meta-analysis of the utility of quantitative, imaging-based approaches to predict radiation-induced toxicity in lung cancer patients","Tong D, Midroni J, Avison K, Alnassar S, Chen D, Parsa R, Yariv O, Liu Z, Ye XY, Hope A, Wong P, Raman S.",Radiother Oncol. 2025 Jul;208:110935. doi: 10.1016/j.radonc.2025.110935. Epub 2025 May 11.,Tong D,Radiother Oncol,2025,2025-05-13 00:00:00,,,10.1016/j.radonc.2025.110935,https://pubmed.ncbi.nlm.nih.gov/40360049/,https://doi.org/10.1016/j.radonc.2025.110935,,failed,https://www.sciencedirect.com/science/article/pii/S0167814025002300?via%3Dihub -> no_live_pdf
40347714,Benefit of adjuvant chemotherapy for resected stage I lung cancer with spread through air spaces: a systematic review and meta-analysis,"Du H, Li X, Wang Y, Wang Q, Tao Y, Cui X, Wen Z, Yan S, Wu N.",Eur J Surg Oncol. 2025 Aug;51(8):110104. doi: 10.1016/j.ejso.2025.110104. Epub 2025 Apr 25.,Du H,Eur J Surg Oncol,2025,2025-05-10 00:00:00,,,10.1016/j.ejso.2025.110104,https://pubmed.ncbi.nlm.nih.gov/40347714/,https://doi.org/10.1016/j.ejso.2025.110104,,failed,row_timeout>180s
40262688,Stereotactic reirradiation for in-field lung cancer recurrence after stereotactic ablative radiotherapy: A systematic review and meta-analysis,"Jang K, Cross S, Yeghiaian-Alvandi R.",Radiother Oncol. 2025 Jul;208:110898. doi: 10.1016/j.radonc.2025.110898. Epub 2025 Apr 20.,Jang K,Radiother Oncol,2025,2025-04-22 00:00:00,,,10.1016/j.radonc.2025.110898,https://pubmed.ncbi.nlm.nih.gov/40262688/,https://linkinghub.elsevier.com/retrieve/pii/S0167-8140(25)00193-8,https://www.thegreenjournal.com/action/showPdf?pii=S0167-8140%2825%2900193-8,failed,row_timeout>180s
