PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,pubmed_url,second_link,pdf_url,download_status,download_error
41822960,A Meta-Analysis on the Incidence and Associated Factors of Pulmonary Fungal Infections in Lung Cancer Patients: Evidence Predominantly From Chinese Studies in the Chinese and English Literature,"Deng L, Yu R, Chen B.",Thorac Cancer. 2026 Mar;17(6):e70258. doi: 10.1111/1759-7714.70258.,Deng L,Thorac Cancer,2026,2026/03/13,,,10.1111/1759-7714.70258,https://pubmed.ncbi.nlm.nih.gov/41822960/,,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1759-7714.70258,success,
41618084,Comparative Effectiveness of Acupoint Stimulation Therapies for Cancer-Related Fatigue: A Network Meta-Analysis,"Chou HC, Konara Mudiyanselage SP, Tang CC, Chen SC, Fang SY, Lin MF.",Worldviews Evid Based Nurs. 2026 Feb;23(1):e70104. doi: 10.1111/wvn.70104.,Chou HC,Worldviews Evid Based Nurs,2026,2026/01/30,,,10.1111/wvn.70104,https://pubmed.ncbi.nlm.nih.gov/41618084/,,https://sigmapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/wvn.70104,success,
41560513,Endobronchial ultrasound-guided mediastinal biopsies for the diagnosis of mediastinal diseases: A network meta-analysis,"Qi YJ, Zhang J, Salcedo Lobera E, Song QY, Zhong RH, Kontogianni K, Huang ZS, Ariza-Prota M, Gupta N, Madan M, Maturu VN, Pratibh Prasad V, Steinack C, Wu N, Gaisl T, Herth FJ, Fan Y.",Pulmonology. 2026 Dec;32(1):2593067. doi: 10.1080/25310429.2025.2593067. Epub 2026 Jan 20.,Qi YJ,Pulmonology,2026,2026/01/21,,,10.1080/25310429.2025.2593067,https://pubmed.ncbi.nlm.nih.gov/41560513/,,,failed,https://www.tandfonline.com/doi/pdf/10.1080/25310429.2025.2593067 -> http_403:text/html; charset=UTF-8
41544598,KRAS-mutant advanced NSCLC: efficacy and clinical outcomes from network meta-analysis and real-world evidence,"Gang X, Sun Y, Hao J, Zhao S, Wang Y, Yang X, Li H, Zhao M.",Lung Cancer. 2026 Mar;213:108930. doi: 10.1016/j.lungcan.2026.108930. Epub 2026 Jan 12.,Gang X,Lung Cancer,2026,2026/01/16,,,10.1016/j.lungcan.2026.108930,https://pubmed.ncbi.nlm.nih.gov/41544598/,,,failed,row_timeout>120s
41539026,Incidence of Pneumonitis in Asian Patients With Lung Cancer: A Systematic Literature Review and Meta-analysis,"Kuang Y, Zu K, Xing D, Liu A, Uyei J, Nevo A, Chang HC, Pierce CM.",Clin Lung Cancer. 2026 Mar;27(2):25-37. doi: 10.1016/j.cllc.2025.11.019. Epub 2025 Dec 4.,Kuang Y,Clin Lung Cancer,2026,2026/01/15,,,10.1016/j.cllc.2025.11.019,https://pubmed.ncbi.nlm.nih.gov/41539026/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S1525730425003274.pdf?locale=en_US&searchIndex=,success,
41520595,Comparative efficacy and safety of post-TKI treatments for advanced EGFR-mutant non-small-cell lung cancer: a systematic review and network meta-analysis,"Wang Y, Zhang L, Zhan J, Wen L, Zhao X, Sun H, Chen X, Zhang Y, Chen G, Zhao Y, Huang Y, Fang W, Zhang L, Sun D, Yang Y.",Lung Cancer. 2026 Feb;212:108914. doi: 10.1016/j.lungcan.2026.108914. Epub 2026 Jan 8.,Wang Y,Lung Cancer,2026,2026/01/11,,,10.1016/j.lungcan.2026.108914,https://pubmed.ncbi.nlm.nih.gov/41520595/,,https://mastergo.com/files/home,success,
41448280,Effectiveness of interventions for increasing lung cancer screening uptake: A systematic review and meta-analysis of randomized clinical trials,"Tao W, Tang X, Jiao X, Sayani A, Zhao J, Li W, Wei X.",Prev Med. 2026 Feb;203:108489. doi: 10.1016/j.ypmed.2025.108489. Epub 2025 Dec 23.,Tao W,Prev Med,2026,2025/12/25,,,10.1016/j.ypmed.2025.108489,https://pubmed.ncbi.nlm.nih.gov/41448280/,,,failed,row_timeout>120s
41443486,"TROP-2-directed antibody-drug conjugates in advanced NSCLC: A systematic review and meta-analysis of efficacy, safety, and reconstructed survival outcomes","Ansab M, Rath S, Alam U, Burhan M, Siddiqui HT, Desai A.",Crit Rev Oncol Hematol. 2026 Feb;218:105093. doi: 10.1016/j.critrevonc.2025.105093. Epub 2025 Dec 22.,Ansab M,Crit Rev Oncol Hematol,2026,2025/12/24,,,10.1016/j.critrevonc.2025.105093,https://pubmed.ncbi.nlm.nih.gov/41443486/,,,failed,row_timeout>120s
41412311,Correlation of ORR and PFS with OS outcomes in phase III trials of immunotherapy in advanced NSCLC: Systematic review and meta-analysis,"Salomone F, Di Maio M, Viggiano A, Liguori L, Della Corte CM, Viscardi G, Vitiello F, Napolitano F, Santaniello A, Nuccio A, D'Ambrosio S, Vitale F, Avanzo A, Bulotta A, Formisano L, Ferrara R, Bianco R, Torri V, Servetto A.",Crit Rev Oncol Hematol. 2026 Feb;218:105092. doi: 10.1016/j.critrevonc.2025.105092. Epub 2025 Dec 16.,Salomone F,Crit Rev Oncol Hematol,2026,2025/12/18,,,10.1016/j.critrevonc.2025.105092,https://pubmed.ncbi.nlm.nih.gov/41412311/,,,failed,row_timeout>120s
41386338,Consolidative thoracic radiotherapy in the immunotherapy era for extensive-stage small cell lung cancer: a systematic review and meta-analysis with emphasis on brain and liver metastases,"Wróbel D, Wojewoda B, Ziółek W, Potocki PM, Borowczak J.",Radiother Oncol. 2026 Mar;216:111328. doi: 10.1016/j.radonc.2025.111328. Epub 2025 Dec 11.,Wróbel D,Radiother Oncol,2026,2025/12/12,,,10.1016/j.radonc.2025.111328,https://pubmed.ncbi.nlm.nih.gov/41386338/,,https://www.clinicalkey.com/service/content/pdf/watermarked/1-s2.0-S0167814025053320.pdf?locale=en_US&searchIndex=,success,
