Labeling Type,Dosage Form(s),Route(s) of Administration,Marketing Category,Application Number(s),Trade Name,Generic/Proper Name(s),SPL Effective Date (YYYY/MM/DD),Established Pharmacologic Class(es),Initial U.S. Approval,Company,Marketing Date(s) (YYYY/MM/DD),NDC(s),Active Ingredient UNII(s),Active Ingredient(s),Active Moiety Name(s),Active Moiety UNII(s),FDALabel Link,DailyMed SPL Link,DailyMed PDF Link,SET ID,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION; INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA,125118,ORENCIA,ABATACEPT,2025/11/13,Selective T Cell Costimulation Modulator,2005,E R SQUIBB AND SONS L L C,2009/01/01-; 2011/07/29-,0003-2187; 0003-2188; 0003-2814; 0003-2818,7D0YB67S97,ABATACEPT; abatacept,ABATACEPT; abatacept,7D0YB67S97,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0836c6ac-ee37-5640-2fed-a3185a0b16eb/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0836c6ac-ee37-5640-2fed-a3185a0b16eb,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0836c6ac-ee37-5640-2fed-a3185a0b16eb,0836c6ac-ee37-5640-2fed-a3185a0b16eb,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,213871,CIBINQO,ABROCITINIB,2025/3/20,Janus Kinase Inhibitor,2022,U S PHARMACEUTICALS,2022/02/24-,63539-236; 63539-336; 63539-436,73SM5SF3OR,ABROCITINIB,ABROCITINIB,73SM5SF3OR,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/16c12a56-4550-414b-ac9d-b785b41fea6b/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=16c12a56-4550-414b-ac9d-b785b41fea6b,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=16c12a56-4550-414b-ac9d-b785b41fea6b,16c12a56-4550-414b-ac9d-b785b41fea6b,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,213871,Cibinqo,ABROCITINIB,2025/1/9,Janus Kinase Inhibitor,2022,PFIZER LABORATORIES DIV PFIZER INC,2022/02/24-,0069-0235; 0069-0335; 0069-0435,73SM5SF3OR,ABROCITINIB,ABROCITINIB,73SM5SF3OR,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,3f6d6fcd-e9f9-42c8-bfa2-bb2cfc9ed258,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"TABLET, FILM COATED",ORAL,NDA,216387,CALQUENCE,ACALABRUTINIB,2026/2/19,Kinase Inhibitor,2017,ASTRAZENECA PHARMACEUTICALS LP,2022/08/04-,0310-3512; 0310-4513,I42748ELQW,ACALABRUTINIB,ACALABRUTINIB,I42748ELQW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/b1409184-3267-4d8c-8f17-4e01f69828b1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b1409184-3267-4d8c-8f17-4e01f69828b1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=b1409184-3267-4d8c-8f17-4e01f69828b1,b1409184-3267-4d8c-8f17-4e01f69828b1,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,"CAPSULE, GELATIN COATED",ORAL,NDA,210259,CALQUENCE,ACALABRUTINIB,2026/2/19,Kinase Inhibitor,2017,ASTRAZENECA PHARMACEUTICALS LP,2017/10/31-,0310-0512,I42748ELQW,ACALABRUTINIB,ACALABRUTINIB,I42748ELQW,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/dd4835ef-e1bc-4997-a399-1ffa2556fbfe/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=dd4835ef-e1bc-4997-a399-1ffa2556fbfe,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=dd4835ef-e1bc-4997-a399-1ffa2556fbfe,dd4835ef-e1bc-4997-a399-1ffa2556fbfe,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,217774,Acitretin,ACITRETIN,2024/8/9,Retinoid,,ALEMBIC PHARMACEUTICALS INC,2024/08/08-,62332-741; 62332-742; 62332-743,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/0a4ca401-6ea4-4653-8674-056fa637f4a1/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=0a4ca401-6ea4-4653-8674-056fa637f4a1,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=0a4ca401-6ea4-4653-8674-056fa637f4a1,0a4ca401-6ea4-4653-8674-056fa637f4a1,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,217774,Acitretin,ACITRETIN,2024/8/9,Retinoid,,ALEMBIC PHARMACEUTICALS LIMITED,2024/08/08-,46708-741; 46708-742; 46708-743,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/77011f2b-a2e7-4a43-9ff3-29d73f322319/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=77011f2b-a2e7-4a43-9ff3-29d73f322319,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=77011f2b-a2e7-4a43-9ff3-29d73f322319,77011f2b-a2e7-4a43-9ff3-29d73f322319,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204633,ACITRETIN,ACITRETIN,2024/1/26,Retinoid,,BRYANT RANCH PREPACK,2015/09/16-,72162-2223,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/1e87e415-070d-41f5-9d93-17793e8ad8a6/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=1e87e415-070d-41f5-9d93-17793e8ad8a6,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=1e87e415-070d-41f5-9d93-17793e8ad8a6,1e87e415-070d-41f5-9d93-17793e8ad8a6,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204633,ACITRETIN,ACITRETIN,2024/1/26,Retinoid,,BRYANT RANCH PREPACK,2015/09/16-,72162-2222,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/08ce9fdd-1e84-4043-b085-91053f975b64/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=08ce9fdd-1e84-4043-b085-91053f975b64,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=08ce9fdd-1e84-4043-b085-91053f975b64,08ce9fdd-1e84-4043-b085-91053f975b64,,,,,,,,,,,,,,,,,,,
HUMAN PRESCRIPTION DRUG LABEL,CAPSULE,ORAL,ANDA,204633,ACITRETIN,ACITRETIN,2024/1/26,Retinoid,,BRYANT RANCH PREPACK,2015/09/16-,72162-2224,LCH760E9T7,ACITRETIN,ACITRETIN,LCH760E9T7,https://nctr-crs.fda.gov/fdalabel/services/spl/set-ids/a5be620f-d721-40c1-a062-d21c70bfcbed/spl-doc,https://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a5be620f-d721-40c1-a062-d21c70bfcbed,https://dailymed.nlm.nih.gov/dailymed/downloadpdffile.cfm?setId=a5be620f-d721-40c1-a062-d21c70bfcbed,a5be620f-d721-40c1-a062-d21c70bfcbed,,,,,,,,,,,,,,,,,,,
